Date,High,Low,Open,Close,Volume,Adj Close
2017-09-01,1.3200000524520874,1.100000023841858,1.2000000476837158,1.2999999523162842,29000.0,1.2999999523162842
2017-09-05,1.399999976158142,1.309999942779541,1.3700000047683716,1.3799999952316284,9000.0,1.3799999952316284
2017-09-06,1.4800000190734863,1.2000000476837158,1.4800000190734863,1.2999999523162842,78700.0,1.2999999523162842
2017-09-07,1.3600000143051147,1.2300000190734863,1.2899999618530273,1.3200000524520874,5800.0,1.3200000524520874
2017-09-08,1.2999999523162842,1.149999976158142,1.25,1.2400000095367432,74300.0,1.2400000095367432
2017-09-11,1.5499999523162842,1.2100000381469727,1.2400000095367432,1.4700000286102295,47600.0,1.4700000286102295
2017-09-12,1.5700000524520874,1.3899999856948853,1.4900000095367432,1.399999976158142,131600.0,1.399999976158142
2017-09-13,1.4600000381469727,1.2999999523162842,1.4600000381469727,1.2999999523162842,30100.0,1.2999999523162842
2017-09-14,1.409999966621399,1.3200000524520874,1.3300000429153442,1.340000033378601,19200.0,1.340000033378601
2017-09-15,1.3799999952316284,1.309999942779541,1.3600000143051147,1.3799999952316284,16100.0,1.3799999952316284
2017-09-18,1.3700000047683716,1.2999999523162842,1.340000033378601,1.2999999523162842,10800.0,1.2999999523162842
2017-09-19,1.340000033378601,1.2999999523162842,1.3300000429153442,1.309999942779541,12400.0,1.309999942779541
2017-09-20,1.350000023841858,1.2999999523162842,1.2999999523162842,1.309999942779541,18700.0,1.309999942779541
